VAR,Informativität,user,value,variable,Informativität_ip,Informativität_gm,Interpretationssicherheit,Interpretationssicherheit_ip,Interpretationssicherheit_gm
Informativität_arith. Mittel,NA,1,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,2,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,3,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,4,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,5,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,6,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,6,7,arith. Mittel,Kennwerte,0.2581988897471613,1.1129036032126913,6,0.3162277660168378,0.8810994844464087
Informativität_arith. Mittel,NA,8,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,6,9,arith. Mittel,Kennwerte,0.7100469468046933,1.1129036032126913,6,0.5581563056514378,0.8810994844464087
Informativität_arith. Mittel,5,10,arith. Mittel,Kennwerte,0.5997168475538395,0.4590727363252351,5,0.364399348580512,0.15279181811209414
Informativität_arith. Mittel,5,11,arith. Mittel,Kennwerte,0.1847872870719593,0.4590727363252351,6,1.1061625132040847,0.8810994844464087
Informativität_arith. Mittel,6,12,arith. Mittel,Kennwerte,1.50249106071042,1.1129036032126913,6,0.9298956298171003,0.8810994844464087
Informativität_arith. Mittel,NA,13,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,5,14,arith. Mittel,Kennwerte,0.6667978873483168,0.4590727363252351,3,-0.6076436202501998,-1.3038235145565351
Informativität_arith. Mittel,NA,15,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,6,16,arith. Mittel,Kennwerte,0.7888106377466153,1.1129036032126913,5,0.15191090506255012,0.15279181811209414
Informativität_arith. Mittel,5,17,arith. Mittel,Kennwerte,0.6955893765556628,0.4590727363252351,4,0.08352690695845574,-0.5755158482222205
Informativität_arith. Mittel,6,18,arith. Mittel,Kennwerte,0.6564174883889315,1.1129036032126913,6,0.3162277660168378,0.8810994844464087
Informativität_arith. Mittel,5,19,arith. Mittel,Kennwerte,-0.2581988897471613,0.4590727363252351,6,0.5720775535473559,0.8810994844464087
Informativität_arith. Mittel,NA,20,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,21,arith. Mittel,Kennwerte,NA,NA,6,0.7262730392025625,0.8810994844464087
Informativität_arith. Mittel,2,22,arith. Mittel,Kennwerte,-0.6392461017352904,-1.5024198643371336,2,-0.5581563056514381,-2.0321311808908495
Informativität_arith. Mittel,NA,23,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,24,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,25,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,26,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,27,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,3,28,arith. Mittel,Kennwerte,-1.080123449734643,-0.8485889974496773,6,0.6123724356957945,0.8810994844464087
Informativität_arith. Mittel,NA,29,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,3,30,arith. Mittel,Kennwerte,-0.9354143466934853,-0.8485889974496773,4,-0.47434164902525733,-0.5755158482222205
Informativität_arith. Mittel,3,31,arith. Mittel,Kennwerte,-2.140518204038028,-0.8485889974496773,6,0.3162277660168378,0.8810994844464087
Informativität_arith. Mittel,NA,32,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,33,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,34,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,35,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,36,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,6,37,arith. Mittel,Kennwerte,1.080123449734644,1.1129036032126913,5,-0.5720775535473559,0.15279181811209414
Informativität_arith. Mittel,1,38,arith. Mittel,Kennwerte,-1.218543591689885,-2.1562507312245898,NA,NA,NA
Informativität_arith. Mittel,NA,39,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,40,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,41,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,42,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,43,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,44,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,45,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,46,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,47,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,48,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,5,49,arith. Mittel,Kennwerte,0.8345229603962807,0.4590727363252351,5,1.1618950038622244,0.15279181811209414
Informativität_arith. Mittel,6,50,arith. Mittel,Kennwerte,1.1660918123983752,1.1129036032126913,6,0.6210590034081185,0.8810994844464087
Informativität_arith. Mittel,NA,51,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,52,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,6,53,arith. Mittel,Kennwerte,1.3113263207824055,1.1129036032126913,6,1.4666666666666668,0.8810994844464087
Informativität_arith. Mittel,6,54,arith. Mittel,Kennwerte,0.7071067811865475,1.1129036032126913,6,0.7590721152765894,0.8810994844464087
Informativität_arith. Mittel,NA,55,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,3,56,arith. Mittel,Kennwerte,-0.5916079783099616,-0.8485889974496773,4,0.30304576336566325,-0.5755158482222205
Informativität_arith. Mittel,NA,57,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,58,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,59,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,6,60,arith. Mittel,Kennwerte,0.7637626158259734,1.1129036032126913,6,0.3162277660168382,0.8810994844464087
Informativität_arith. Mittel,NA,61,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,6,62,arith. Mittel,Kennwerte,1.248635619022183,1.1129036032126913,6,1.0141851056742195,0.8810994844464087
Informativität_arith. Mittel,NA,63,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,64,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,65,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,4,66,arith. Mittel,Kennwerte,-0.4771187236136981,-0.19475813056222113,5,-0.3162277660168378,0.15279181811209414
Informativität_arith. Mittel,NA,67,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,4,68,arith. Mittel,Kennwerte,0.25819888974716193,-0.19475813056222113,4,NaN,-0.5755158482222205
Informativität_arith. Mittel,5,69,arith. Mittel,Kennwerte,0.6667978873483168,0.4590727363252351,5,1.1190057698883766,0.15279181811209414
Informativität_arith. Mittel,NA,70,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,6,71,arith. Mittel,Kennwerte,0.9898030839149453,1.1129036032126913,5,0.6076436202501998,0.15279181811209414
Informativität_arith. Mittel,NA,72,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,73,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,6,74,arith. Mittel,Kennwerte,0.9896753833157038,1.1129036032126913,6,1.0278724332962899,0.8810994844464087
Informativität_arith. Mittel,5,75,arith. Mittel,Kennwerte,-0.4830458915396484,0.4590727363252351,6,1.0606601717798212,0.8810994844464087
Informativität_arith. Mittel,6,76,arith. Mittel,Kennwerte,0.7629748253988725,1.1129036032126913,6,1.0278724332962899,0.8810994844464087
Informativität_arith. Mittel,NA,77,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,6,78,arith. Mittel,Kennwerte,0.41464421443136473,1.1129036032126913,6,0.4707234295342247,0.8810994844464087
Informativität_arith. Mittel,NA,79,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,5,80,arith. Mittel,Kennwerte,-0.31851102863530273,0.4590727363252351,6,0.3803194146278322,0.8810994844464087
Informativität_arith. Mittel,NA,81,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,82,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,6,83,arith. Mittel,Kennwerte,1.2152872405004003,1.1129036032126913,6,0.47140452079103123,0.8810994844464087
Informativität_arith. Mittel,NA,84,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,NA,85,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,3,86,arith. Mittel,Kennwerte,-1.221517606568933,-0.8485889974496773,5,0.12909944487358066,0.15279181811209414
Informativität_arith. Mittel,NA,87,arith. Mittel,Kennwerte,NA,NA,NA,NA,NA
Informativität_arith. Mittel,3,88,arith. Mittel,Kennwerte,-0.7637626158259734,-0.8485889974496773,2,-0.9982743731749961,-2.0321311808908495
Informativität_arith. Mittel,4,89,arith. Mittel,Kennwerte,-1.33532190018528,-0.19475813056222113,6,0.5720775535473559,0.8810994844464087
Informativität_Beziehung,3,1,Beziehung,Qualitätsdimension,NaN,-1.6883662703632378,NA,NA,NA
Informativität_Beziehung,NA,2,Beziehung,Qualitätsdimension,NA,NA,NA,NA,NA
Informativität_Beziehung,NA,3,Beziehung,Qualitätsdimension,NA,NA,NA,NA,NA
Informativität_Beziehung,NA,4,Beziehung,Qualitätsdimension,NA,NA,NA,NA,NA
Informativität_Beziehung,NA,5,Beziehung,Qualitätsdimension,NA,NA,NA,NA,NA
Informativität_Beziehung,4,6,Beziehung,Qualitätsdimension,-0.5851421232041205,-0.7542291945475121,NA,NA,NA
Informativität_Beziehung,6,7,Beziehung,Qualitätsdimension,0.2581988897471613,1.114044957083939,NA,NA,NA
Informativität_Beziehung,6,8,Beziehung,Qualitätsdimension,1.2039101531870335,1.114044957083939,NA,NA,NA
Informativität_Beziehung,5,9,Beziehung,Qualitätsdimension,-0.2581988897471611,0.17990788126821347,NA,NA,NA
Informativität_Beziehung,4,10,Beziehung,Qualitätsdimension,-0.21807885365594154,-0.7542291945475121,NA,NA,NA
Informativität_Beziehung,6,11,Beziehung,Qualitätsdimension,1.108723722431755,1.114044957083939,NA,NA,NA
Informativität_Beziehung,3,12,Beziehung,Qualitätsdimension,-0.32486293204549616,-1.6883662703632378,NA,NA,NA
Informativität_Beziehung,4,13,Beziehung,Qualitätsdimension,0.39336862882433005,-0.7542291945475121,NA,NA,NA
Informativität_Beziehung,4,14,Beziehung,Qualitätsdimension,-0.2424719590357515,-0.7542291945475121,NA,NA,NA
Informativität_Beziehung,5,15,Beziehung,Qualitätsdimension,0.24152294576982397,0.17990788126821347,NA,NA,NA
Informativität_Beziehung,5,16,Beziehung,Qualitätsdimension,-0.19720265943665405,0.17990788126821347,NA,NA,NA
Informativität_Beziehung,5,17,Beziehung,Qualitätsdimension,0.6955893765556628,0.17990788126821347,NA,NA,NA
Informativität_Beziehung,6,18,Beziehung,Qualitätsdimension,0.6564174883889315,1.114044957083939,NA,NA,NA
Informativität_Beziehung,5,19,Beziehung,Qualitätsdimension,-0.2581988897471613,0.17990788126821347,NA,NA,NA
Informativität_Beziehung,6,20,Beziehung,Qualitätsdimension,0.3803194146278322,1.114044957083939,NA,NA,NA
Informativität_Beziehung,6,21,Beziehung,Qualitätsdimension,0.5400617248673217,1.114044957083939,NA,NA,NA
Informativität_Beziehung,4,22,Beziehung,Qualitätsdimension,0.8359372099615335,-0.7542291945475121,NA,NA,NA
Informativität_Beziehung,4,23,Beziehung,Qualitätsdimension,-0.13690924897713314,-0.7542291945475121,NA,NA,NA
Informativität_Beziehung,5,24,Beziehung,Qualitätsdimension,0.16854996561581037,0.17990788126821347,NA,NA,NA
